id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,1005,1007,967,1005,1000
2,1005,1007,967,1006,1001
3,1007,1004,965,1007,1000
4,1006,1007,968,1007,1000
5,1006,1006,967,1006,999
6,1006,1005,967,1006,999
7,1007,1005,966,1007,1000
8,1006,1007,966,1004,1001
9,1007,1006,965,1007,1000
10,1006,1005,967,1004,999
11,1007,1004,967,1007,998
12,1006,1005,967,1006,999
14,1005,1006,966,1005,1000
15,1007,1007,965,1007,1000
16,1006,1005,967,1006,999
17,1007,1006,966,1007,1000
18,1007,1006,965,1007,1000
19,1007,1004,965,1007,1000
20,1005,1007,966,1005,1001
21,1007,1006,965,1007,1000
22,1007,1004,965,1007,1002
24,1007,1006,965,1007,1005
25,1006,1005,967,1006,1004
26,1007,1006,966,1006,1006
27,1005,1007,966,1007,1005
28,1007,1004,967,1006,1001
29,1008,1004,967,1005,999
30,1005,1007,966,1005,1003
31,1005,1007,966,1005,1004
32,1005,1007,967,1004,994
33,1007,1004,967,1006,996
34,1007,1006,965,1007,990
35,1006,1006,967,1004,1003
36,1007,1005,965,1007,886
37,1007,1007,966,1005,879
38,1007,1004,967,1009,973
39,1007,1004,967,1008,889
41,1007,1005,967,1007,885
42,1006,1007,966,1006,889
43,1006,1007,968,1006,976
44,1007,1005,967,1006,967
46,1006,1006,966,1007,1006
47,1006,1007,966,1005,1006
48,1005,1009,966,1005,1007
49,1005,1007,967,1004,1003
51,1007,1004,965,1007,1002
52,1007,1006,967,1005,1005
53,1006,1006,967,1007,996
54,1007,1007,965,1007,1000
55,1006,1007,968,1005,1003
56,1007,1004,967,1006,1003
57,1006,1006,966,1006,1005
58,1007,1006,965,1007,1005
61,1007,1004,967,1005,1005
62,1007,1007,965,1007,969
63,1007,1005,967,1004,919
64,1006,1007,966,1005,973
66,1007,1006,966,1006,911
69,1007,1005,967,1007,908
71,1007,1007,965,1007,893
72,1006,1007,966,1007,893
73,1005,1007,968,1004,893
74,1007,1006,966,1005,893
76,1007,1004,966,1007,892
77,1007,1010,965,1007,894
78,1007,1005,967,1007,897
80,1007,1005,967,1006,913
81,1007,1007,966,1004,930
82,1007,1005,967,1007,946
85,1007,1005,965,1007,1005
86,1005,1007,966,1005,1007
87,1007,1005,967,1004,1005
89,1007,1007,965,1007,1005
90,1007,1004,967,1007,1002
91,1005,1007,966,1005,1007
92,1007,1004,967,1007,1001
93,1007,1004,967,1007,1001
94,1006,1007,965,1006,996
96,1006,1005,967,1006,997
97,1006,1005,967,1007,999
98,1007,1005,965,1007,997
99,1007,1004,967,1007,986
100,1006,1007,968,1005,950
101,1007,1006,965,1007,984
103,1006,1007,966,1006,915
104,1007,1004,967,1004,921
105,1006,1006,967,1006,896
107,1005,1007,966,1005,895
109,1007,1004,967,1006,895
110,1007,1007,966,1005,896
111,1007,1006,966,1006,919
112,1005,1007,966,1005,917
113,1006,1005,967,1006,952
114,1006,1005,967,1006,971
115,1005,1007,965,1005,1002
116,1007,1006,966,1007,1002
118,1006,1005,967,1006,1002
122,1007,1007,965,1007,1002
123,1007,1004,965,1007,1001
124,1007,1004,967,1007,1000
125,1007,1006,965,1007,1002
126,1006,1007,965,1006,1004
127,1006,1007,966,1005,1005
