id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,998,999,995,999,988
2,999,1000,993,999,988
3,998,1000,995,999,988
4,999,998,995,999,988
5,999,998,996,999,986
6,1001,992,997,999,984
7,998,993,999,998,984
8,1002,993,999,998,984
9,1000,993,999,998,988
10,994,997,1000,994,989
11,997,1000,993,999,988
12,997,1002,994,999,984
13,1002,992,999,1000,985
14,1000,995,998,1000,985
15,1002,992,999,1002,982
16,999,996,997,999,986
17,997,1000,993,999,990
18,995,1002,993,997,991
19,995,999,996,997,986
20,995,999,996,995,986
21,994,999,996,997,975
22,996,999,998,995,945
23,999,996,996,999,945
24,998,995,999,996,953
25,999,998,995,999,912
26,994,997,999,994,891
27,996,999,998,995,870
28,995,999,994,997,858
29,995,1002,992,999,856
30,999,996,997,999,849
31,999,994,997,1002,852
32,998,994,999,1000,852
33,999,996,997,1002,856
34,998,995,999,996,855
35,996,995,999,996,855
36,1000,995,999,996,889
37,997,995,999,996,855
38,996,995,999,994,857
39,994,995,999,992,915
40,993,999,998,995,903
41,995,1000,993,997,938
42,995,999,994,997,958
43,994,997,999,996,989
44,993,999,998,995,997
45,993,995,999,994,995
46,994,995,1001,992,995
47,996,997,998,995,995
48,994,995,1001,992,995
49,992,995,1001,993,994
50,999,998,994,999,990
51,994,995,1001,993,991
52,1000,993,999,996,989
53,999,994,997,999,992
54,992,997,1000,994,995
55,995,999,996,995,991
56,997,1000,995,998,992
57,998,996,997,998,986
58,998,996,996,998,984
59,997,997,995,998,978
60,998,998,996,999,936
61,1000,994,997,998,933
62,999,994,995,1002,885
63,994,997,999,994,873
64,999,993,999,1000,867
65,997,1000,992,999,958
66,992,999,1000,993,855
67,994,995,999,993,873
68,999,998,993,999,932
69,998,994,997,999,874
70,998,994,999,998,869
71,994,997,999,992,864
72,993,997,998,993,851
73,993,997,999,994,855
74,997,999,994,999,854
75,999,996,995,999,860
76,999,997,995,999,863
77,998,994,997,999,856
78,998,995,999,996,857
79,996,995,1000,993,938
80,998,996,999,994,907
81,992,999,993,997,948
82,996,994,999,997,982
83,994,998,1000,994,983
84,999,996,995,999,990
85,998,996,997,999,990
86,997,995,999,994,992
87,994,999,996,995,996
88,995,1000,994,998,990
89,996,995,999,992,985
90,993,999,996,995,983
91,996,997,998,995,985
92,993,997,1000,992,983
93,996,997,999,994,985
94,998,995,999,996,984
95,998,997,996,999,984
96,998,995,999,998,980
97,994,998,998,995,983
98,993,998,990,995,980
99,998,992,995,994,977
100,988,995,996,992,982
101,995,994,992,996,980
102,990,995,996,992,979
103,995,996,992,995,984
104,996,992,998,992,981
105,995,994,993,996,986
106,993,997,992,993,988
107,992,996,992,993,988
108,994,992,998,992,983
109,997,993,993,998,984
110,994,992,996,991,983
111,993,998,990,995,986
112,996,992,998,994,983
113,990,995,996,990,987
114,995,994,992,997,986
115,990,995,996,992,987
117,992,995,994,992,987
