id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,1023,955,993,976,1017
2,1023,955,993,976,1017
3,1023,955,993,976,1015
4,1023,955,993,976,1015
5,1023,954,993,976,1016
6,1023,955,993,976,1016
7,1023,954,993,976,1015
8,1023,954,993,976,1016
9,1023,954,993,973,1018
10,1023,954,993,973,1017
11,1023,955,993,973,1017
12,1023,955,993,973,1017
13,1023,955,993,973,1017
14,1023,955,993,973,1017
15,1023,954,993,974,1017
16,1023,955,993,974,1016
17,1023,955,993,975,1020
18,1023,955,993,975,1017
19,1023,955,993,976,1022
20,1023,954,993,976,1022
21,1023,955,993,975,1015
22,1023,955,993,975,1015
23,1023,955,993,992,1018
24,1023,955,998,991,1015
25,1023,955,993,979,1015
26,1023,955,993,980,1016
27,1023,954,992,1006,1017
28,1023,954,991,968,1021
29,1023,954,993,975,1022
30,1023,955,987,976,1019
31,1023,957,989,977,1022
32,1023,959,988,976,1022
33,1023,960,988,975,1021
34,1023,959,986,974,1021
35,1023,959,988,997,1022
36,1023,959,987,972,1016
37,1023,960,988,1016,1018
38,1023,959,987,976,1016
39,1023,959,984,976,1016
40,1023,959,970,976,1015
41,1023,959,939,976,1015
42,1023,959,930,976,1015
43,1023,959,925,975,1015
44,1023,959,917,974,1015
45,1023,959,919,974,1015
46,1023,959,919,974,1015
47,1023,959,920,975,1014
48,1023,959,918,975,1015
49,1023,959,920,975,1015
50,1023,959,919,975,1015
51,1023,959,922,975,1015
52,1023,958,921,974,1014
53,1023,959,920,975,1014
54,1023,959,923,975,1014
55,1023,959,1023,975,1014
56,1023,959,928,975,1015
57,1023,959,934,975,1015
58,1023,959,938,976,1014
59,1023,959,951,976,1014
60,1023,959,964,976,1014
61,1023,959,978,976,1014
62,1023,959,980,975,1015
63,1023,959,990,976,1017
64,1023,959,996,976,1017
65,1023,959,1000,977,1017
66,1023,959,1000,976,1017
67,1023,959,994,975,1021
68,1023,959,993,975,1022
69,1023,959,994,976,1017
70,1023,959,992,976,1017
71,1023,959,981,975,1017
72,1023,959,975,975,1017
73,1023,959,962,976,1017
74,1023,959,940,975,1021
75,1023,959,929,975,1021
76,1023,959,924,976,1021
77,1023,959,923,976,1021
78,1023,959,924,975,1021
79,1023,959,920,975,1022
80,1023,959,920,977,1021
81,1023,959,921,976,1021
82,1023,959,1023,976,1021
83,1023,959,1023,976,1021
84,1023,959,1023,976,1021
85,1023,959,1018,976,1021
86,1023,959,1019,977,1021
87,1023,959,922,1003,1022
88,1023,959,933,1009,1022
89,1023,959,935,997,1022
90,1023,959,953,994,1022
91,1023,959,966,994,1022
92,1023,959,978,994,1022
