id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,964,904,959,990,989
2,964,905,958,990,992
3,964,933,958,991,992
4,968,904,955,996,987
5,963,908,952,995,991
6,961,906,954,993,996
7,961,905,956,989,995
8,961,903,954,992,995
9,962,903,957,992,992
10,963,903,956,991,993
11,965,904,955,994,989
12,961,906,956,993,994
13,963,905,956,992,991
14,966,904,955,996,989
15,965,904,955,996,988
16,963,906,954,994,992
17,961,905,956,991,994
18,961,906,953,993,996
19,961,908,952,995,996
20,963,908,953,998,990
21,966,905,957,994,988
22,964,904,957,994,989
23,963,906,955,994,990
24,966,904,955,988,993
25,959,903,958,987,994
26,961,906,956,995,988
27,968,912,959,988,991
28,964,919,959,987,991
29,976,926,964,993,991
30,967,924,988,994,994
31,983,924,988,993,991
32,967,924,987,997,991
33,967,912,987,998,988
34,969,908,992,994,989
35,966,907,958,989,992
36,965,907,958,989,992
37,985,906,990,993,994
38,964,907,958,989,990
39,964,907,958,988,991
40,962,911,952,995,991
41,966,904,961,994,990
42,966,907,958,991,992
43,965,909,956,990,993
44,962,943,958,987,995
45,965,930,991,992,994
46,963,926,953,993,992
47,967,916,952,995,991
48,968,904,963,990,985
49,968,905,964,988,987
50,965,911,957,992,992
51,970,908,958,991,989
52,965,909,994,990,993
53,964,907,996,987,994
54,964,907,996,988,995
55,970,908,993,998,988
56,966,906,994,994,992
57,966,907,996,989,993
58,965,906,986,995,991
59,967,911,992,995,990
60,966,908,992,994,988
61,967,906,993,996,988
62,966,905,996,992,992
63,967,908,989,995,992
64,970,902,995,992,989
65,967,908,988,995,991
66,965,909,992,989,994
67,968,911,996,990,991
68,967,904,993,994,989
69,967,910,990,993,991
70,967,904,992,994,988
71,966,903,995,994,986
72,968,902,995,991,989
73,965,899,996,987,991
74,965,892,988,995,991
75,972,888,995,998,985
76,968,883,998,988,983
77,967,876,993,997,978
78,968,890,991,993,977
79,968,875,996,991,972
80,967,891,995,996,888
81,961,883,990,989,956
82,968,881,998,988,929
83,968,985,995,991,929
84,967,890,993,992,929
85,964,871,996,987,917
86,967,868,993,998,912
87,962,919,1000,985,887
88,967,888,987,998,888
89,966,888,995,993,883
90,969,888,993,991,891
91,964,885,996,987,891
92,963,882,988,995,894
93,972,869,998,988,897
94,963,866,988,995,952
95,972,864,995,996,977
96,967,859,990,991,988
97,968,855,990,988,985
98,969,850,990,995,988
99,966,850,993,993,983
100,966,847,995,990,984
