id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,992,917,964,992,995
2,995,920,963,994,993
3,998,913,963,1000,992
4,999,928,963,999,992
5,995,924,961,995,991
6,992,915,964,992,995
7,996,914,963,996,993
8,995,918,960,995,991
9,992,907,964,992,997
10,996,910,964,993,994
11,998,912,961,998,992
12,995,910,961,996,992
13,992,915,964,993,998
14,992,909,966,990,995
15,999,909,963,999,989
16,993,911,962,993,994
17,999,912,963,998,986
18,995,916,960,997,988
19,994,913,965,993,983
20,998,912,965,996,933
21,999,913,963,996,933
22,992,905,964,992,943
23,992,894,964,993,887
24,999,894,961,999,888
25,998,901,963,996,952
26,992,899,966,992,919
27,997,907,963,996,977
28,993,907,962,994,960
29,990,903,966,992,894
30,999,904,961,998,890
31,994,899,966,993,921
32,999,890,961,999,885
33,998,876,966,996,883
34,1002,876,963,1000,884
35,997,879,964,995,886
36,996,871,966,994,893
37,1004,868,963,1000,986
38,999,872,964,997,884
39,998,872,966,996,885
40,1000,876,967,996,883
41,996,885,965,996,895
42,997,910,960,999,954
43,994,907,965,996,953
44,999,912,963,999,984
45,997,918,964,997,993
46,1004,916,965,998,995
47,996,913,966,996,991
48,999,916,963,998,994
49,998,909,966,996,993
50,995,911,964,997,998
51,995,917,964,995,993
52,995,918,962,998,990
53,999,920,963,998,984
54,997,917,962,997,993
55,1000,918,966,998,986
56,998,917,966,1000,988
57,999,916,963,999,974
58,995,915,965,996,915
59,999,914,963,999,896
60,990,913,968,992,891
61,999,926,963,999,884
62,995,910,964,997,884
63,1002,902,963,1002,881
64,999,904,963,998,882
65,1002,892,963,1000,881
66,999,906,963,999,926
67,999,892,963,1000,880
68,1002,892,963,1000,880
69,997,890,961,999,880
70,1002,882,963,999,881
71,995,886,962,995,887
72,996,881,965,997,886
73,999,891,965,1000,992
74,999,899,963,998,996
75,1000,899,967,994,993
76,999,900,962,999,996
77,1000,901,966,996,993
78,995,900,962,997,876
79,1000,895,970,996,877
80,1002,897,966,1000,880
81,997,902,966,996,883
82,997,906,961,999,888
83,997,906,964,997,884
84,996,903,966,995,883
85,997,908,960,999,884
86,999,904,964,998,884
87,999,906,961,999,884
88,994,903,966,995,883
89,999,904,963,998,883
90,995,903,964,995,883
91,998,900,966,996,883
92,995,911,960,999,888
93,1000,913,966,996,921
94,994,915,965,994,954
95,1000,918,965,997,990
96,995,919,964,995,999
97,994,917,966,994,995
98,999,920,961,999,994
99,994,917,966,994,995
100,995,914,962,999,990
101,996,921,966,994,963
102,999,921,965,998,931
103,995,922,964,995,964
104,1000,917,967,996,977
105,994,918,965,995,980
106,999,917,962,998,984
107,996,915,966,996,983
108,996,917,967,996,987
109,992,915,967,992,994
110,999,916,963,999,988
111,999,910,963,999,984
112,996,915,966,994,987
113,999,916,963,999,982
114,999,918,961,999,980
115,996,915,967,994,923
116,998,906,963,998,905
117,993,893,964,995,895
118,998,891,966,996,901
119,999,909,965,998,884
120,996,909,966,995,883
121,992,895,968,992,887
122,996,898,965,996,886
123,996,882,966,996,884
124,997,877,965,997,883
125,999,860,962,999,882
126,996,859,966,992,879
127,997,851,962,998,879
128,997,873,965,996,879
129,998,849,965,997,887
130,999,856,963,999,888
131,999,856,961,999,896
132,998,852,963,999,878
133,994,851,966,994,875
134,999,854,963,999,876
