id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,964,904,959,990,989
2,964,905,958,990,992
3,964,933,958,991,992
4,968,904,955,996,987
5,963,908,952,995,991
6,961,906,954,993,996
7,961,905,956,989,995
8,961,903,954,992,995
9,962,903,957,992,992
10,963,903,956,991,993
11,965,904,955,994,989
12,961,906,956,993,994
13,963,905,956,992,991
14,966,904,955,996,989
15,965,904,955,996,988
16,963,906,954,994,992
17,961,905,956,991,994
18,961,906,953,993,996
19,961,908,952,995,996
20,963,908,953,998,990
21,966,905,957,994,988
22,964,904,957,994,989
23,963,906,955,994,990
24,966,904,955,988,993
25,959,903,958,987,994
26,961,906,956,995,988
27,968,912,959,988,991
28,964,919,959,987,991
29,976,926,964,993,991
30,967,924,988,994,994
31,983,924,988,993,991
32,967,924,987,997,991
33,967,912,987,998,988
34,969,908,992,994,989
35,966,907,958,989,992
36,965,907,958,989,992
37,985,906,990,993,994
38,964,907,958,989,990
39,964,907,958,988,991
40,962,911,952,995,991
41,966,904,961,994,990
42,966,907,958,991,992
43,965,909,956,990,993
44,962,943,958,987,995
45,965,930,991,992,994
46,963,926,953,993,992
47,967,916,952,995,991
48,968,904,963,990,985
49,968,905,964,988,987
50,965,911,957,992,992
51,970,908,958,991,989
52,965,909,994,990,993
53,964,907,996,987,994
54,964,907,996,988,995
55,970,908,993,998,988
56,966,906,994,994,992
57,966,907,996,989,993
58,965,906,986,995,991
59,967,911,992,995,990
60,966,908,992,994,988
61,967,906,993,996,988
62,966,905,996,992,992
63,967,908,989,995,992
64,970,902,995,992,989
65,967,908,988,995,991
66,965,909,992,989,994
67,968,911,996,990,991
68,967,904,993,994,989
69,967,910,990,993,991
70,967,904,992,994,988
71,966,903,995,994,986
72,968,902,995,991,989
73,965,899,996,987,991
74,965,892,988,995,991
75,972,888,995,998,985
76,968,883,998,988,983
77,967,876,993,997,978
78,968,890,991,993,977
79,968,875,996,991,972
80,967,891,995,996,888
81,961,883,990,989,956
82,968,881,998,988,929
83,968,985,995,991,929
84,967,890,993,992,929
85,964,871,996,987,917
86,967,868,993,998,912
87,962,919,1000,985,887
88,967,888,987,998,888
89,966,888,995,993,883
90,969,888,993,991,891
91,964,885,996,987,891
92,963,882,988,995,894
93,972,869,998,988,897
94,963,866,988,995,952
95,972,864,995,996,977
96,967,859,990,991,988
97,968,855,990,988,985
98,969,850,990,995,988
99,966,850,993,993,983
100,966,847,995,990,984
101,966,845,995,992,986
102,964,843,992,992,986
103,966,843,993,990,984
104,964,845,990,992,986
105,968,841,994,989,981
106,966,844,993,997,980
107,967,843,995,990,985
108,965,838,990,993,987
109,967,841,990,995,985
110,963,836,988,995,988
111,968,836,998,990,981
112,966,856,993,997,984
113,967,860,992,997,984
114,965,874,990,991,987
115,962,887,996,987,987
116,968,917,998,988,983
117,967,884,992,995,985
118,964,879,996,987,983
119,967,904,993,996,984
120,966,901,995,991,985
121,964,891,996,989,983
122,964,887,997,990,983
123,967,903,990,991,985
124,965,910,990,993,984
125,965,897,994,990,985
126,966,904,993,994,982
127,967,911,988,993,984
128,965,915,991,989,985
129,967,906,951,996,981
130,963,916,948,995,988
131,962,919,956,987,987
132,970,916,955,996,981
133,966,921,993,992,984
134,965,911,989,993,984
135,961,907,964,987,988
136,963,894,962,993,986
137,966,890,975,996,980
138,968,885,996,988,979
139,966,881,991,991,905
140,963,890,984,991,924
141,959,887,990,985,899
142,964,873,992,984,897
143,964,987,993,988,893
144,964,986,991,988,901
145,967,876,992,996,888
146,963,872,985,995,895
147,963,870,976,993,894
148,963,868,969,993,892
149,961,867,974,985,890
150,964,867,975,986,891
151,967,869,981,991,889
152,966,869,973,992,890
153,967,989,971,991,897
154,967,868,968,997,920
155,965,870,976,993,972
156,961,871,968,987,983
157,964,879,980,988,983
158,968,880,987,991,981
159,966,880,977,992,984
160,966,932,971,994,988
161,967,872,973,996,984
162,961,993,974,985,983
163,968,925,979,990,979
164,970,848,975,991,980
165,967,915,970,988,983
166,965,853,970,987,983
167,962,871,990,985,983
168,962,835,994,984,983
169,968,831,994,990,985
170,968,827,991,991,985
171,968,827,995,990,983
172,968,851,993,991,985
173,967,818,989,993,986
174,967,820,988,993,986
175,967,821,989,992,986
176,966,820,993,995,984
177,966,824,991,993,984
178,968,822,995,989,983
179,965,824,988,993,988
180,965,823,988,993,988
181,967,822,986,995,988
182,963,823,984,995,988
183,968,822,990,991,983
184,965,829,990,993,986
185,963,844,987,995,988
186,963,852,984,993,988
187,963,866,988,993,988
188,963,879,988,992,988
189,967,890,955,993,983
190,967,888,992,998,984
191,961,882,994,989,986
192,968,874,994,992,984
193,961,878,990,992,986
194,961,874,988,992,988
195,967,876,959,991,985
196,967,874,992,996,984
197,966,872,960,996,988
198,967,868,993,998,984
199,968,864,958,988,983
200,966,865,956,990,989
