id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,960,996,956,995,982
2,960,998,956,995,982
3,959,989,960,989,979
4,957,999,956,992,983
5,962,993,956,995,978
6,964,988,960,996,976
7,960,993,960,989,979
8,957,995,958,992,982
9,961,996,956,994,980
10,962,993,960,989,977
11,963,992,955,998,976
12,957,999,956,995,980
13,959,998,956,993,982
14,961,994,955,995,980
15,960,993,959,992,978
16,960,995,957,992,979
17,959,995,957,992,980
18,962,988,959,996,976
19,960,993,958,992,979
20,961,993,958,992,977
21,958,992,959,988,977
22,960,998,956,993,980
23,962,992,957,996,977
24,962,991,959,996,978
25,962,992,958,995,979
26,959,995,960,992,982
27,958,997,959,989,983
28,963,988,955,999,976
29,964,988,960,996,976
30,964,992,960,992,977
31,964,988,960,996,977
32,961,993,958,992,979
33,962,994,958,993,979
34,959,995,960,992,981
35,958,995,959,992,982
36,963,992,957,996,980
37,962,992,957,994,979
38,961,993,958,995,980
39,962,995,958,992,981
40,960,994,958,992,980
41,964,994,957,995,980
42,960,995,959,992,979
43,960,995,958,993,982
44,961,994,958,995,980
45,961,997,957,993,981
46,963,990,955,998,980
47,964,992,959,994,977
48,960,998,958,992,983
49,961,994,956,997,980
50,962,991,959,996,978
51,959,997,957,993,982
52,960,995,959,990,981
53,962,993,958,994,979
54,963,990,953,998,976
55,959,998,957,993,983
56,961,992,957,995,980
57,962,993,959,991,981
58,959,997,958,992,983
59,963,990,955,998,976
60,960,993,960,993,981
61,960,996,956,993,983
62,961,994,957,995,982
63,964,989,960,996,977
64,959,995,958,992,983
65,962,990,959,996,976
66,961,994,957,993,982
67,961,994,956,995,981
68,960,999,956,993,980
69,959,993,960,990,977
70,963,994,957,995,976
71,962,993,957,994,976
72,964,992,959,994,976
73,985,997,958,993,980
74,967,995,957,994,978
75,972,993,962,989,979
76,961,998,956,993,980
77,987,991,957,996,976
78,963,999,958,993,982
79,968,993,959,993,977
80,987,1002,952,995,984
81,967,996,955,995,980
82,977,997,958,991,979
83,968,995,960,990,977
84,988,988,955,996,976
85,956,995,978,992,978
86,963,1000,953,995,996
87,984,993,996,990,993
88,963,996,954,995,994
89,966,989,960,998,986
90,976,998,958,992,983
91,971,995,957,993,915
92,964,990,959,996,913
93,961,997,958,993,921
94,967,988,960,996,928
95,964,992,959,991,981
96,959,997,955,999,922
97,961,995,959,992,907
98,963,992,957,996,912
99,962,994,958,992,909
100,961,992,957,996,915
