id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,992,917,964,992,995
2,995,920,963,994,993
3,998,913,963,1000,992
4,999,928,963,999,992
5,995,924,961,995,991
6,992,915,964,992,995
7,996,914,963,996,993
8,995,918,960,995,991
9,992,907,964,992,997
10,996,910,964,993,994
11,998,912,961,998,992
12,995,910,961,996,992
13,992,915,964,993,998
14,992,909,966,990,995
15,999,909,963,999,989
16,993,911,962,993,994
17,999,912,963,998,986
18,995,916,960,997,988
19,994,913,965,993,983
20,998,912,965,996,933
21,999,913,963,996,933
22,992,905,964,992,943
23,992,894,964,993,887
24,999,894,961,999,888
25,998,901,963,996,952
26,992,899,966,992,919
27,997,907,963,996,977
28,993,907,962,994,960
29,990,903,966,992,894
30,999,904,961,998,890
31,994,899,966,993,921
32,999,890,961,999,885
33,998,876,966,996,883
34,1002,876,963,1000,884
35,997,879,964,995,886
36,996,871,966,994,893
37,1004,868,963,1000,986
38,999,872,964,997,884
39,998,872,966,996,885
40,1000,876,967,996,883
41,996,885,965,996,895
42,997,910,960,999,954
43,994,907,965,996,953
44,999,912,963,999,984
45,997,918,964,997,993
46,1004,916,965,998,995
47,996,913,966,996,991
48,999,916,963,998,994
49,998,909,966,996,993
50,995,911,964,997,998
51,995,917,964,995,993
52,995,918,962,998,990
53,999,920,963,998,984
54,997,917,962,997,993
55,1000,918,966,998,986
56,998,917,966,1000,988
57,999,916,963,999,974
58,995,915,965,996,915
59,999,914,963,999,896
60,990,913,968,992,891
61,999,926,963,999,884
62,995,910,964,997,884
63,1002,902,963,1002,881
64,999,904,963,998,882
65,1002,892,963,1000,881
66,999,906,963,999,926
67,999,892,963,1000,880
68,1002,892,963,1000,880
69,997,890,961,999,880
70,1002,882,963,999,881
71,995,886,962,995,887
72,996,881,965,997,886
73,999,891,965,1000,992
74,999,899,963,998,996
75,1000,899,967,994,993
76,999,900,962,999,996
77,1000,901,966,996,993
78,995,900,962,997,876
79,1000,895,970,996,877
80,1002,897,966,1000,880
81,997,902,966,996,883
82,997,906,961,999,888
83,997,906,964,997,884
84,996,903,966,995,883
85,997,908,960,999,884
86,999,904,964,998,884
87,999,906,961,999,884
88,994,903,966,995,883
89,999,904,963,998,883
90,995,903,964,995,883
91,998,900,966,996,883
92,995,911,960,999,888
93,1000,913,966,996,921
94,994,915,965,994,954
95,1000,918,965,997,990
96,995,919,964,995,999
97,994,917,966,994,995
98,999,920,961,999,994
99,994,917,966,994,995
100,995,914,962,999,990
101,996,921,966,994,963
102,999,921,965,998,931
103,995,922,964,995,964
104,1000,917,967,996,977
105,994,918,965,995,980
106,999,917,962,998,984
107,996,915,966,996,983
108,996,917,967,996,987
109,992,915,967,992,994
110,999,916,963,999,988
111,999,910,963,999,984
112,996,915,966,994,987
113,999,916,963,999,982
114,999,918,961,999,980
115,996,915,967,994,923
116,998,906,963,998,905
117,993,893,964,995,895
118,998,891,966,996,901
119,999,909,965,998,884
120,996,909,966,995,883
121,992,895,968,992,887
122,996,898,965,996,886
123,996,882,966,996,884
124,997,877,965,997,883
125,999,860,962,999,882
126,996,859,966,992,879
127,997,851,962,998,879
128,997,873,965,996,879
129,998,849,965,997,887
130,999,856,963,999,888
131,999,856,961,999,896
132,998,852,963,999,878
133,994,851,966,994,875
134,999,854,963,999,876
135,999,854,962,998,877
136,993,853,964,995,884
137,998,874,962,998,901
138,996,930,965,996,946
139,1000,904,967,996,993
140,998,907,963,999,990
141,997,910,962,999,986
142,994,911,968,994,993
143,998,913,967,996,933
144,999,920,963,1000,924
145,1002,917,963,999,968
146,1000,916,966,1000,992
147,993,907,966,993,997
148,995,929,964,995,995
149,999,942,965,997,993
150,1000,936,967,996,992
151,995,930,963,997,994
152,996,922,966,996,989
153,999,892,961,999,994
154,996,858,966,996,995
155,998,843,967,996,993
156,997,842,961,999,998
157,995,833,964,994,995
158,999,834,965,996,992
159,995,834,962,997,998
160,999,880,961,999,993
161,1000,827,963,1000,992
162,994,827,966,994,995
163,996,819,966,994,995
164,997,826,965,995,997
165,997,829,964,995,997
166,999,828,963,999,992
167,999,828,963,999,996
168,995,824,962,998,998
169,994,823,965,994,998
170,996,829,966,996,995
171,998,831,965,999,994
172,999,830,961,999,996
173,994,832,966,993,999
174,1000,830,966,1000,993
175,998,830,963,999,995
176,999,831,963,999,993
177,999,833,961,999,996
178,997,831,964,997,998
179,997,829,964,997,996
180,994,831,965,994,997
181,999,831,963,997,992
182,998,830,965,998,994
183,994,832,966,996,995
184,996,920,966,995,997
185,999,825,963,1000,993
186,999,834,965,998,993
187,998,836,964,995,995
188,999,844,963,998,993
189,999,848,962,999,996
190,997,859,965,998,994
191,996,859,968,992,995
192,999,876,963,998,993
193,998,898,964,997,994
194,996,918,964,997,997
195,996,919,967,992,995
196,999,924,963,999,992
197,997,909,960,999,996
198,994,911,966,993,998
199,998,877,965,996,995
200,998,880,964,998,995
