id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,974,928,978,1023,1019
2,974,928,978,1023,1019
3,975,928,978,1023,1019
4,975,928,978,1023,1021
5,974,928,978,1023,1020
6,974,928,978,1023,1020
7,974,928,978,1023,1020
8,974,927,978,1023,1020
9,974,928,978,1023,1020
10,973,927,978,1023,1021
11,973,928,978,1023,1020
12,973,927,978,1023,1020
13,973,928,978,1023,1019
14,973,927,978,1023,1020
15,973,927,978,1023,1020
16,973,927,978,1023,1020
17,973,927,978,1023,1020
18,973,926,978,1023,1020
19,973,927,978,1023,1021
20,973,927,978,1023,1021
21,973,927,978,1023,1021
22,973,926,978,1023,1021
23,973,926,978,1023,1021
24,973,927,978,1023,1021
25,973,926,978,1023,1021
26,973,926,978,1023,1021
27,973,927,978,1023,1021
28,973,926,978,1023,1021
29,973,927,978,1023,1021
30,973,926,978,1023,1021
31,973,926,979,1023,1021
32,973,926,978,1023,1021
33,973,926,978,1023,1021
34,973,926,978,1023,1021
35,973,927,978,1023,1021
36,973,926,978,1023,1021
37,973,926,978,1023,1021
38,973,926,978,1023,1021
39,973,926,978,1023,1021
40,973,927,978,1023,1021
41,973,926,978,1023,1021
42,973,926,978,1023,1021
43,973,926,978,1023,1021
44,973,926,978,1023,1021
45,973,926,978,1023,1021
46,973,926,978,1023,1021
47,973,926,978,1023,1021
48,1002,929,978,1023,1021
49,999,931,978,1023,1021
50,989,931,978,1023,1021
51,989,931,978,1023,1021
52,985,931,979,1023,1021
53,971,932,978,1023,1021
54,970,920,978,1023,1021
55,970,925,978,1023,1021
56,970,923,978,1023,1021
57,970,915,978,1023,1021
58,971,909,978,1023,1021
59,971,907,978,1023,1021
60,970,902,978,1023,1021
61,995,906,978,1023,1021
62,985,871,979,1023,1021
63,975,877,978,1023,1021
64,985,864,978,1023,1021
65,985,855,978,1023,1021
66,985,846,978,1023,1021
67,984,838,978,1023,1021
68,989,837,978,1023,1021
69,987,835,978,1023,1021
70,991,837,978,1023,1020
71,987,836,978,1023,1021
72,985,833,978,1023,1021
73,987,836,978,1023,1020
74,986,840,978,1023,1021
75,989,840,978,1023,1021
76,983,839,978,1023,1021
77,983,845,979,1023,1021
78,982,849,979,1023,1021
79,984,862,978,1023,1021
80,984,881,978,1023,1021
81,985,893,978,1023,1021
82,985,913,978,1023,1021
83,985,916,978,1023,1021
84,989,923,978,1023,1021
85,989,918,978,1023,1021
86,984,922,978,1023,1021
87,984,921,978,1023,1021
88,984,924,978,1023,1021
89,984,925,978,1023,1021
90,985,925,978,1023,1021
91,985,925,978,1023,1021
92,985,918,978,1023,1021
93,985,925,978,1023,1021
94,983,914,978,1023,1021
95,985,917,978,1023,1021
96,985,915,978,1023,1021
97,985,918,978,1023,1021
98,984,921,978,1023,1021
99,970,900,978,1023,1021
100,977,875,978,1023,1021
101,989,863,978,1023,1021
102,980,856,978,1023,1021
103,979,853,978,1023,1021
104,980,853,978,1023,1021
105,973,847,978,1023,1021
106,971,843,978,1023,1021
107,971,843,978,1023,1020
108,971,843,978,1023,1020
109,975,843,978,1023,1020
110,973,838,978,1023,1021
111,976,842,978,1023,1021
112,971,843,978,1023,1020
113,971,840,978,1023,1021
114,971,842,978,1023,1021
115,971,848,978,1023,1020
116,971,868,978,1023,1021
117,971,890,978,1023,1020
118,971,906,978,1023,1020
119,971,905,978,1023,1020
120,971,913,978,1023,1020
121,971,915,978,1023,1021
122,971,918,978,1023,1021
123,971,919,978,1023,1021
124,971,922,978,1023,1021
125,971,921,978,1023,1021
126,976,920,978,1023,1020
127,975,917,978,1023,1020
128,975,914,978,1023,1020
129,975,920,978,1023,1020
130,975,918,978,1023,1021
131,975,918,978,1023,1021
132,975,916,978,1023,1021
133,973,931,978,1023,1021
134,976,923,978,1023,1021
135,976,929,978,1023,1021
136,975,930,978,1023,1021
137,977,924,978,1023,1021
138,977,916,978,1023,1021
139,973,913,978,1023,1021
140,973,918,978,1023,1021
141,974,914,978,1023,1021
142,974,916,978,1023,1021
143,975,912,979,1023,1020
144,974,917,978,1023,1021
145,971,922,978,1023,1021
146,974,922,978,1023,1021
147,975,918,978,1023,1021
148,973,926,978,1023,1020
149,973,921,978,1023,1021
150,986,921,978,1023,1020
151,970,921,978,1023,1021
152,969,922,978,1023,1021
153,970,922,979,1023,1021
154,970,921,979,1023,1021
155,961,920,978,1023,1021
156,966,922,978,1023,1021
157,969,921,978,1023,1021
158,964,918,978,1023,1021
159,965,915,978,1023,1020
160,972,912,978,1023,1021
161,989,916,978,1023,1021
162,972,914,978,1023,1021
163,972,914,978,1023,1021
164,971,915,978,1023,1021
165,970,916,978,1023,1021
166,966,914,978,1023,1021
167,957,910,978,1023,1021
168,941,908,978,1023,1020
169,937,908,978,1023,1020
170,924,907,978,1023,1020
171,947,909,978,1023,1020
172,906,906,978,1023,1021
173,897,908,978,1023,1021
174,895,911,978,1023,1021
175,905,909,978,1023,1021
176,893,911,978,1023,1021
177,893,911,978,1023,1021
178,894,910,978,1023,1021
179,892,909,978,1023,1021
180,889,911,978,1023,1020
181,890,911,978,1023,1020
182,891,912,978,1023,1020
183,889,911,978,1023,1021
184,888,912,978,1023,1021
185,898,912,978,1023,1021
186,912,919,978,1023,1021
187,949,917,978,1023,1021
188,981,916,978,1023,1021
189,987,915,978,1023,1020
190,991,915,978,1023,1020
191,986,916,978,1023,1021
