id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
54,970,920,978,1023,1021
55,970,925,978,1023,1021
56,970,923,978,1023,1021
57,970,915,978,1023,1021
58,971,909,978,1023,1021
59,971,907,978,1023,1021
61,995,906,978,1023,1021
82,985,913,978,1023,1021
83,985,916,978,1023,1021
84,989,923,978,1023,1021
85,989,918,978,1023,1021
86,984,922,978,1023,1021
87,984,921,978,1023,1021
88,984,924,978,1023,1021
89,984,925,978,1023,1021
90,985,925,978,1023,1021
91,985,925,978,1023,1021
92,985,918,978,1023,1021
93,985,925,978,1023,1021
94,983,914,978,1023,1021
95,985,917,978,1023,1021
96,985,915,978,1023,1021
97,985,918,978,1023,1021
98,984,921,978,1023,1021
118,971,906,978,1023,1020
120,971,913,978,1023,1020
121,971,915,978,1023,1021
122,971,918,978,1023,1021
123,971,919,978,1023,1021
124,971,922,978,1023,1021
125,971,921,978,1023,1021
126,976,920,978,1023,1020
127,975,917,978,1023,1020
128,975,914,978,1023,1020
129,975,920,978,1023,1020
130,975,918,978,1023,1021
131,975,918,978,1023,1021
132,975,916,978,1023,1021
134,976,923,978,1023,1021
137,977,924,978,1023,1021
138,977,916,978,1023,1021
139,973,913,978,1023,1021
140,973,918,978,1023,1021
141,974,914,978,1023,1021
142,974,916,978,1023,1021
143,975,912,979,1023,1020
144,974,917,978,1023,1021
145,971,922,978,1023,1021
146,974,922,978,1023,1021
147,975,918,978,1023,1021
149,973,921,978,1023,1021
150,986,921,978,1023,1020
151,970,921,978,1023,1021
152,969,922,978,1023,1021
153,970,922,979,1023,1021
154,970,921,979,1023,1021
155,961,920,978,1023,1021
156,966,922,978,1023,1021
157,969,921,978,1023,1021
158,964,918,978,1023,1021
159,965,915,978,1023,1020
160,972,912,978,1023,1021
161,989,916,978,1023,1021
162,972,914,978,1023,1021
163,972,914,978,1023,1021
164,971,915,978,1023,1021
165,970,916,978,1023,1021
166,966,914,978,1023,1021
167,957,910,978,1023,1021
188,981,916,978,1023,1021
189,987,915,978,1023,1020
190,991,915,978,1023,1020
191,986,916,978,1023,1021
192,986,916,978,1023,1021
193,985,916,978,1023,1021
194,985,912,978,1023,1020
195,982,913,978,1023,1020
196,981,913,978,1023,1021
197,979,913,978,1023,1021
198,977,912,978,1023,1020
199,976,912,978,1023,1021
200,974,912,978,1023,1021
201,973,911,978,1023,1021
202,970,911,978,1023,1021
203,971,913,979,1023,1021
